"","Principal","terms","past_due_days","age","education","Gender","predict_loan_status"
"1",1000,"monthly",0,45,"High School or Below","male","PAIDOFF"
"5",1000,"monthly",0,28,"college","female","PAIDOFF"
"8",1000,"monthly",0,36,"college","male","PAIDOFF"
"9",1000,"monthly",0,28,"college","male","PAIDOFF"
"12",1000,"biweekly",0,39,"High School or Below","male","PAIDOFF"
"23",1000,"monthly",0,25,"High School or Below","male","PAIDOFF"
"27",800,"biweekly",0,39,"Bechalor","male","PAIDOFF"
"28",1000,"biweekly",0,34,"Bechalor","male","PAIDOFF"
"32",1000,"monthly",0,37,"college","male","PAIDOFF"
"37",1000,"monthly",0,27,"High School or Below","male","PAIDOFF"
"44",1000,"biweekly",0,30,"college","male","PAIDOFF"
"45",1000,"biweekly",0,24,"Bechalor","female","PAIDOFF"
"46",800,"weekly",0,35,"High School or Below","male","PAIDOFF"
"48",1000,"monthly",0,32,"college","male","PAIDOFF"
"51",800,"biweekly",0,27,"college","female","PAIDOFF"
"62",1000,"biweekly",0,37,"college","male","PAIDOFF"
"69",300,"weekly",0,35,"college","male","PAIDOFF"
"73",1000,"monthly",0,33,"Bechalor","female","PAIDOFF"
"80",1000,"monthly",0,44,"High School or Below","female","PAIDOFF"
"81",1000,"monthly",0,28,"High School or Below","male","PAIDOFF"
"82",1000,"weekly",0,25,"college","male","PAIDOFF"
"84",800,"biweekly",0,33,"college","male","PAIDOFF"
"90",800,"biweekly",0,46,"High School or Below","female","PAIDOFF"
"94",800,"biweekly",0,27,"High School or Below","male","PAIDOFF"
"96",1000,"monthly",0,36,"college","male","PAIDOFF"
"98",1000,"monthly",0,34,"college","male","PAIDOFF"
"108",1000,"monthly",0,31,"High School or Below","male","PAIDOFF"
"112",1000,"monthly",0,27,"college","female","PAIDOFF"
"113",1000,"monthly",0,27,"college","male","PAIDOFF"
"127",1000,"biweekly",0,28,"High School or Below","male","PAIDOFF"
"128",800,"biweekly",0,43,"High School or Below","male","PAIDOFF"
"129",1000,"biweekly",0,34,"Bechalor","male","PAIDOFF"
"134",1000,"monthly",0,33,"college","female","PAIDOFF"
"136",1000,"monthly",0,30,"High School or Below","male","PAIDOFF"
"139",1000,"biweekly",0,47,"High School or Below","male","PAIDOFF"
"140",1000,"monthly",0,20,"High School or Below","male","PAIDOFF"
"144",800,"biweekly",0,33,"college","female","PAIDOFF"
"149",1000,"biweekly",0,26,"Bechalor","male","PAIDOFF"
"152",800,"biweekly",0,23,"college","male","PAIDOFF"
"162",800,"biweekly",0,31,"Bechalor","male","PAIDOFF"
"177",1000,"monthly",0,38,"High School or Below","male","PAIDOFF"
"181",1000,"biweekly",0,31,"High School or Below","female","PAIDOFF"
"185",1000,"monthly",0,27,"High School or Below","male","PAIDOFF"
"186",1000,"monthly",0,31,"High School or Below","female","PAIDOFF"
"187",1000,"monthly",0,33,"Bechalor","male","PAIDOFF"
"191",1000,"monthly",0,32,"college","male","PAIDOFF"
"197",1000,"monthly",0,29,"college","male","PAIDOFF"
"198",1000,"biweekly",0,40,"college","male","PAIDOFF"
"211",1000,"biweekly",0,27,"High School or Below","male","PAIDOFF"
"218",800,"biweekly",0,31,"High School or Below","female","PAIDOFF"
"226",1000,"monthly",0,26,"High School or Below","male","PAIDOFF"
"236",1000,"monthly",0,30,"High School or Below","male","PAIDOFF"
"247",800,"biweekly",0,26,"college","male","PAIDOFF"
"253",1000,"monthly",0,28,"High School or Below","male","PAIDOFF"
"254",500,"weekly",0,22,"High School or Below","male","PAIDOFF"
"266",1000,"biweekly",0,34,"Bechalor","female","PAIDOFF"
"271",1000,"monthly",0,29,"High School or Below","male","PAIDOFF"
"279",800,"biweekly",0,36,"college","male","PAIDOFF"
"282",1000,"biweekly",0,28,"Bechalor","male","PAIDOFF"
"291",1000,"biweekly",0,30,"college","female","PAIDOFF"
"311",1000,"monthly",60,30,"college","male","COLLECTION"
"313",1000,"monthly",60,27,"High School or Below","male","COLLECTION"
"315",1000,"monthly",60,24,"college","male","COLLECTION"
"318",1000,"biweekly",75,29,"High School or Below","male","COLLECTION"
"324",800,"biweekly",75,32,"college","male","COLLECTION"
"330",1000,"monthly",59,44,"Bechalor","male","COLLECTION"
"333",1000,"monthly",59,21,"High School or Below","male","COLLECTION"
"334",1000,"monthly",59,30,"High School or Below","female","COLLECTION"
"339",1000,"biweekly",74,27,"college","female","COLLECTION"
"344",1000,"monthly",59,23,"High School or Below","male","COLLECTION"
"353",1000,"monthly",59,35,"High School or Below","male","COLLECTION"
"355",1000,"monthly",59,37,"High School or Below","male","COLLECTION"
"359",1000,"monthly",59,32,"college","male","COLLECTION"
"361",1000,"monthly",59,34,"college","male","COLLECTION"
"368",800,"biweekly",74,28,"Bechalor","male","COLLECTION"
"369",1000,"monthly",59,24,"college","male","COLLECTION"
"374",1000,"biweekly",74,40,"High School or Below","male","COLLECTION"
"382",800,"biweekly",74,35,"High School or Below","male","COLLECTION"
"387",800,"biweekly",74,46,"High School or Below","male","COLLECTION"
"400",1000,"monthly",58,26,"college","male","COLLECTION"
"401",1000,"monthly",2,26,"college","male","COLLECTION_PAIDOFF"
"413",800,"biweekly",2,39,"college","male","COLLECTION_PAIDOFF"
"418",800,"biweekly",3,25,"High School or Below","male","COLLECTION_PAIDOFF"
"424",1000,"biweekly",2,24,"college","male","COLLECTION_PAIDOFF"
"427",1000,"monthly",1,33,"college","male","COLLECTION_PAIDOFF"
"433",800,"weekly",2,34,"Bechalor","female","COLLECTION_PAIDOFF"
"436",1000,"monthly",1,29,"Bechalor","male","COLLECTION_PAIDOFF"
"444",1000,"monthly",28,26,"college","female","COLLECTION"
"447",1000,"monthly",25,31,"college","male","COLLECTION_PAIDOFF"
"449",1000,"monthly",3,25,"High School or Below","male","COLLECTION_PAIDOFF"
"451",1000,"monthly",3,38,"college","male","COLLECTION_PAIDOFF"
"452",800,"biweekly",4,41,"college","male","COLLECTION_PAIDOFF"
"455",1000,"monthly",6,35,"High School or Below","male","COLLECTION_PAIDOFF"
"468",1000,"biweekly",1,41,"High School or Below","male","COLLECTION_PAIDOFF"
"469",1000,"monthly",4,38,"High School or Below","male","COLLECTION_PAIDOFF"
"470",1000,"monthly",52,26,"High School or Below","male","COLLECTION"
"473",800,"biweekly",51,33,"college","male","COLLECTION"
"481",1000,"biweekly",29,30,"Bechalor","male","COLLECTION"
"495",1000,"monthly",2,30,"High School or Below","male","COLLECTION_PAIDOFF"
"499",1000,"monthly",1,38,"college","female","COLLECTION_PAIDOFF"
